nid,name,role,rank,licence,address,phone_nr,
3009907461,William Carillo,Pilot,Captain,,Fellsmúli 1,8998801,
2910858778,Virginia Ho,Pilot,Captain,,Fellsmúli 2,8998802,
2706838569,Gerard Norris,Pilot,Captain,,Fellsmúli 3,8998803,
2209955782,Franko Sinatra,Pilot,Captain,,Fellsmúli 4,8998804,
2907675667,Felecia Moye,Pilot,Captain,,Fellsmúli 5,8998805,
1309797899,Tyler Anderson,Pilot,Captain,,Fellsmúli 6,8998806,
2410876598,Nan Gage,Pilot,Copilot,,Fellsmúli 7,8998807,
2211658134,Charla Johnson,Pilot,Copilot,,Fellsmúli 8,8998808,
2504939263,Sam Preciado,Pilot,Copilot,,Fellsmúli 9,8998809,
1900769521,Jasmine Hagadone,Pilot,Copilot,,Fellsmúli 10,8998810,
2500812671,Anna Phillips,Pilot,Copilot,,Fellsmúli 11,8998811,
1309927223,Patricia Bates,Pilot,Copilot,,Fellsmúli 12,8998812,
1600904199,Sherry Walker,Cabincrew,Flight Service Manager,,Fellsmúli 13,8998813,
303758167,Margarita Fischer,Cabincrew,Flight Service Manager,,Fellsmúli 14,8998814,
2200763823,Judith Aleshire,Cabincrew,Flight Service Manager,,Fellsmúli 15,8998815,
1308941169,Jacob Blecha,Cabincrew,Flight Service Manager,,Fellsmúli 16,8998816,
1405853585,Lula Stefani,Cabincrew,Flight Service Manager,,Fellsmúli 17,8998817,
909862878,Richard Sanders,Cabincrew,Flight Service Manager,,Fellsmúli 18,8998818,
1811931544,John Kline,Cabincrew,Flight Service Manager,,Fellsmúli 19,8998819,
409858797,Evelyn Pickhardt,Cabincrew,Flight Service Manager,,Fellsmúli 20,8998820,
3002688722,Stacey Henrickson,Cabincrew,Flight Attendant,,Fellsmúli 21,8998821,
3003962187,Delores Whitfield,Cabincrew,Flight Attendant,,Fellsmúli 22,8998822,
1311772221,Maribel Lucero,Cabincrew,Flight Attendant,,Fellsmúli 23,8998823,
2509913418,Katherine Wernimont,Cabincrew,Flight Attendant,,Fellsmúli 24,8998824,
1103647756,Wilma Horne,Cabincrew,Flight Attendant,,Fellsmúli 25,8998825,
2807755841,Bernard Carr,Cabincrew,Flight Attendant,,Fellsmúli 26,8998826,
409907212,Sara Davis,Cabincrew,Flight Attendant,,Fellsmúli 27,8998827,
1103912131,Robert Swope,Cabincrew,Flight Attendant,,Fellsmúli 28,8998828,
2801645554,John Iversen,Cabincrew,Flight Attendant,,Fellsmúli 29,8998829,
1501681497,Abraham Superman,Cabincrew,Flight Attendant,,Fellsmúli 30,8998830,
1811813379,Melissa Paquette,Cabincrew,Flight Attendant,,Fellsmúli 31,8998831,
505942924,Carlton Chan,Cabincrew,Flight Attendant,,Fellsmúli 32,8998832,
1110732819,Arthur Karr,Cabincrew,Flight Attendant,,Fellsmúli 33,8998833,
2602806942,Teresa Thruman,Cabincrew,Flight Attendant,,Fellsmúli 34,8998834,
1107951952,Elizabeth Mcfadden,Cabincrew,Flight Attendant,,Fellsmúli 35,8998835,
1,Elizabeth Mcfadden,Cabincrew,Flight Attendant,,slkdjlksdf,123123,
2,Blublub,Cabincrew,Flight Attendant,,Skáladklf,1312321,
